average_tax_burden,zip
76624,10021
73987,10065
67756,10075
52896,10129
52232,10022
51842,10028
47050,10007
44920,10023
43541,10128
41283,10017
33371,10024
32629,10016
31344,10011
29608,10038
28116,10010
27833,10014
27275,10019
27159,10003
26204,10012
26025,10036
24221,10013
20804,10018
20329,10001
20170,10025
12301,10002
11898,11201
10672,11697
9840,10803
9693,10471
8968,10009
8372,11360
7849,11363
7570,11375
7530,11362
7101,11209
7037,10027
7034,11219
6981,11371
6856,11357
6783,11364
6735,11230
6678,10035
6486,10026
6468,11354
6288,11103
6279,11374
6236,11415
6204,11365
6203,11217
6187,11361
6166,11204
6157,11358
6132,11694
6131,11228
6117,11366
6087,11373
6041,11432
6023,11355
6009,11370
6001,10037
5983,11372
5932,11235
5912,11106
5901,11105
5892,11214
5891,11223
5862,10030
5816,11102
5813,11004
5798,10307
5785,11377
5753,11430
5694,11040
5674,10309
5662,11367
5643,10031
5549,11104
5546,11210
5370,11368
5360,11414
5357,11379
5354,10034
5336,10463
5294,11356
5287,10029
5229,11427
5162,11215
5161,11234
5070,11001
5051,11229
5038,10312
5004,11242
4996,11231
4986,10032
4986,11218
4985,10304
4959,11101
4942,11220
4892,11423
4864,10464
4846,10465
4844,11426
4816,10475
4815,11378
4777,11385
4766,10039
4764,11226
4743,11369
4706,11418
4704,10314
4680,10461
4641,10301
4624,10308
4598,11236
4575,10470
4550,11225
4501,11238
4460,10462
4449,10469
4401,10472
4359,10306
4329,10467
4289,11416
4257,11417
4248,10466
4228,10033
4205,11419
4201,11421
4199,11422
4171,11249
4149,11435
4123,11205
4071,11222
4060,11413
4049,11213
4044,11420
4041,10305
4040,10040
4030,11211
3998,10310
3997,11203
3973,11411
3956,11428
3955,10473
3852,11691
3852,11239
3824,11224
3820,10460
3779,11429
3671,11232
3664,10468
3640,11434
3632,11412
3455,11208
3445,10302
3429,10451
3420,11692
3412,10458
3389,11206
3356,10455
3349,11216
3348,11433
3346,10459
3278,11436
3241,11212
3230,11237
3208,11233
3131,10303
3082,10453
3054,10457
2967,11221
2956,10454
2906,11207
2875,10456
2822,10452
2778,10474
2690,11693
2109,0
